,Pick,Team,Name,College,Seasons,Games,Minutes Played,Points,Total Rebounds,Assists,FG%,3P%,FT%,MPG,PPG,TRPG,APG,Win Share,Win Share/48,Box +/-,VORP
1129,36,DET,Terrico White,University of Mississippi,,,,,,,,,,,,,,,,,
1130,37,MIL,Darington Hobson\hobsoda01,University of New Mexico,1,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-.225,-14.1,-0.1
1131,38,NYK,Andy Rautins\rautian01,Syracuse University,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-.314,-16.0,-0.1
1132,39,NYK,Landry Fields\fieldla01,Stanford University,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.1,2.8
1133,40,IND,Lance Stephenson\stephla01,University of Cincinnati,7,354,8804,3079,1466,1062,.451,.305,.690,24.9,8.7,4.1,3.0,13.8,.075,-0.4,3.6
1134,41,MIA,Jarvis Varnado\varnaja01,Mississippi State University,2,37,397,107,72,16,.582,,.518,10.7,2.9,1.9,0.4,0.7,.089,-1.9,0.0
1135,42,MIA,Da'Sean Butler,West Virginia University,,,,,,,,,,,,,,,,,
1136,43,LAL,Devin Ebanks\ebankde01,West Virginia University,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.7,-0.5
1137,44,MIL,Jerome Jordan\jordaje01,University of Tulsa,2,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,0.0,0.2
1138,45,MIN,Paulao Prestes\prestpa01,,,,,,,,,,,,,,,,,,
1139,46,PHO,Gani Lawal\lawalga01,Georgia Institute of Technology,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-.009,-4.9,0.0
1140,47,MIL,Tiny Gallon,University of Oklahoma,,,,,,,,,,,,,,,,,
1141,48,MIA,Latavious Williams\willila01,,,,,,,,,,,,,,,,,,
1142,49,SAS,Ryan Richards\richary01,,,,,,,,,,,,,,,,,,
1143,50,DAL,Solomon Alabi\alabiso01,Florida State University,2,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-5.4,-0.2
1144,51,OKC,Magnum Rolle,Louisiana Tech University,,,,,,,,,,,,,,,,,
1145,52,BOS,Luke Harangody\haranlu01,University of Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.3,-0.3
1146,53,ATL,Pape Sy\sypa01,,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-.047,-6.0,0.0
1147,54,LAC,Willie Warren\warrewi01,University of Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-4.5,-0.1
1148,55,UTA,Jeremy Evans\evansje01,Western Kentucky University,6,249,2621,877,640,107,.568,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,1.1,2.0
1149,56,MIN,Hamady N'Diaye\ndiayha01,Rutgers University,3,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013,-4.9,-0.1
1150,57,IND,Ryan Reid\reidry01,Florida State University,1,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142,-5.5,0.0
1151,58,LAL,Derrick Caracter\caracde01,University of Texas at El Paso,1,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057,-4.9,-0.2
1152,59,ORL,Stanley Robinson,University of Connecticut,,,,,,,,,,,,,,,,,
1153,60,PHO,Dwayne Collins\collidw01,University of Miami,,,,,,,,,,,,,,,,,
1154,1,CLE,Kyrie Irving\irvinky01,Duke University,6,378,12913,8150,1285,2094,.456,.382,.873,34.2,21.6,3.4,5.5,39.8,.148,2.9,16.1
1155,2,MIN,Derrick Williams\willide02,University of Arizona,6,422,8812,3795,1687,290,.434,.299,.710,20.9,9.0,4.0,0.7,14.0,.076,-3.2,-2.6
1156,3,UTA,Enes Kanter\kanteen01,,6,440,9383,4967,2967,266,.531,.305,.769,21.3,11.3,6.7,0.6,26.4,.135,-2.5,-1.2
1157,4,CLE,Tristan Thompson\thomptr01,University of Texas at Austin,6,465,13363,4368,4025,385,.514,.000,.612,28.7,9.4,8.7,0.8,34.8,.125,-0.5,5.0
1158,5,TOR,Jonas Valanciunas\valanjo01,,5,359,9391,4113,3057,237,.556,.000,.782,26.2,11.5,8.5,0.7,33.2,.169,-0.5,3.6
1159,6,WAS,Jan Vesely\veselja01,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-0.6,0.9
1160,7,SAC,Bismack Biyombo\biyombi01,,6,443,9509,2155,2929,187,.511,.000,.552,21.5,4.9,6.6,0.4,17.8,.090,-2.1,-0.2
1161,8,DET,Brandon Knight\knighbr03,University of Kentucky,6,382,11939,5820,1277,1629,.415,.357,.812,31.3,15.2,3.3,4.3,11.6,.047,-1.2,2.3
1162,9,CHA,Kemba Walker\walkeke02,University of Connecticut,6,441,14938,8096,1706,2368,.412,.351,.827,33.9,18.4,3.9,5.4,32.7,.105,2.2,15.7
1163,10,MIL,Jimmer Fredette\fredeji01,Brigham Young University,5,235,3148,1416,236,323,.412,.381,.876,13.4,6.0,1.0,1.4,2.4,.037,-4.0,-1.6
1164,11,GSW,Klay Thompson\thompkl01,Washington State University,6,461,15093,8800,1542,1039,.454,.420,.853,32.7,19.1,3.3,2.3,36.4,.116,0.5,9.6
1165,12,UTA,Alec Burks\burksal01,University of Colorado,6,298,6584,3025,866,532,.429,.359,.753,22.1,10.2,2.9,1.8,9.6,.070,-2.1,-0.2
1166,13,PHO,Markieff Morris\morrima02,University of Kansas,6,446,11744,5297,2498,758,.446,.329,.774,26.3,11.9,5.6,1.7,18.7,.076,-0.7,3.9
1167,14,HOU,Marcus Morris\morrima03,University of Kansas,6,413,10855,4484,1761,645,.428,.355,.717,26.3,10.9,4.3,1.6,19.0,.084,-0.4,4.5
1168,15,IND,Kawhi Leonard\leonaka01,San Diego State University,6,394,12055,6437,2457,893,.495,.386,.847,30.6,16.3,6.2,2.3,55.0,.219,6.3,25.2
1169,16,PHI,Nikola Vucevic\vucevni01,University of Southern California,6,395,11793,5749,3911,799,.503,.281,.719,29.9,14.6,9.9,2.0,27.9,.114,0.6,7.9
1170,17,NYK,Iman Shumpert\shumpim01,Georgia Institute of Technology,6,365,9340,2708,1263,699,.396,.342,.764,25.6,7.4,3.5,1.9,11.7,.060,-0.2,4.2
1171,18,WAS,Chris Singleton\singlch01,Florida State University,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-2.3,-0.2
1172,19,CHA,Tobias Harris\harrito02,University of Tennessee,6,379,10934,5231,2146,599,.469,.330,.810,28.8,13.8,5.7,1.6,25.2,.111,-0.2,5.1
1173,20,MIN,Donatas Motiejunas\motiedo01,,5,244,4477,1800,941,264,.472,.304,.598,18.3,7.4,3.9,1.1,7.2,.077,-1.9,0.1
1174,21,POR,Nolan Smith\smithno01,Duke University,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.5,-0.9
1175,22,DEN,Kenneth Faried\farieke01,Morehead State University,6,407,10509,4841,3470,430,.545,.105,.653,25.8,11.9,8.5,1.1,34.5,.158,1.5,9.1
1176,23,HOU,Nikola Mirotic\mirotni01,,3,214,4877,2303,1120,266,.409,.349,.799,22.8,10.8,5.2,1.2,12.9,.127,0.8,3.4
1177,24,OKC,Reggie Jackson\jacksre01,Boston College,6,403,9887,4919,1225,1748,.431,.321,.860,24.5,12.2,3.0,4.3,21.3,.103,0.1,5.3
1178,25,BOS,MarShon Brooks\brookma01,Providence College,3,164,2876,1261,358,232,.442,.326,.748,17.5,7.7,2.2,1.4,2.5,.041,-2.5,-0.4
1179,26,DAL,Jordan Hamilton\hamiljo02,University of Texas at Austin,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-1.5,0.3
1180,27,NJN,JaJuan Johnson\johnsja02,Purdue University,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-6.3,-0.3
1181,28,CHI,Norris Cole\coleno01,Cleveland State University,6,357,7970,2486,697,978,.408,.324,.744,22.3,7.0,2.0,2.7,3.0,.018,-4.0,-4.0
1182,29,SAS,Cory Joseph\josepco01,University of Texas at Austin,6,360,6998,2444,812,895,.459,.314,.767,19.4,6.8,2.3,2.5,15.1,.103,-0.5,2.6
1183,30,CHI,Jimmy Butler\butleji01,Marquette University,6,395,12739,6114,1893,1233,.447,.335,.826,32.3,15.5,4.8,3.1,48.3,.182,3.9,19.0
1184,31,MIA,Bojan Bogdanovic\bogdabo02,,3,234,5958,2667,734,275,.444,.369,.859,25.5,11.4,3.1,1.2,6.3,.050,-2.6,-1.0
1185,32,CLE,Justin Harper\harpeju01,University of Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.4,-0.2
1186,33,DET,Kyle Singler\singlky01,Duke University,5,340,7635,2274,1000,266,.419,.365,.795,22.5,6.7,2.9,0.8,9.9,.062,-1.6,0.9
1187,34,WAS,Shelvin Mack\macksh01,Butler University,6,326,5668,2056,613,952,.426,.323,.754,17.4,6.3,1.9,2.9,7.4,.062,-2.5,-0.7
1188,35,SAC,Tyler Honeycutt\honeyty01,University of California Los Angeles,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-6.4,-0.1
1189,36,NJN,Jordan Williams\willijo03,University of Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-3.1,-0.2
1190,37,LAC,Trey Thompkins\thomptr02,University of Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-8.9,-0.2
1191,38,HOU,Chandler Parsons\parsoch01,University of Florida,6,374,12005,5086,1805,1086,.466,.373,.711,32.1,13.6,4.8,2.9,28.0,.112,2.0,12.1
1192,39,CHA,Jeremy Tyler\tylerje01,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-6.6,-1.2
1193,40,MIL,Jon Leuer\leuerjo01,University of Wisconsin,6,324,5348,2179,1286,280,.481,.339,.766,16.5,6.7,4.0,0.9,12.2,.109,-1.1,1.2
1194,41,LAL,Darius Morris\morrida01,University of Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.6,-1.3
1195,42,IND,Davis Bertans\bertada01,,1,62,719,261,90,43,.440,.400,.818,11.6,4.2,1.5,0.7,2.0,.135,1.5,0.6
1196,43,CHI,Malcolm Lee\leema01,University of California Los Angeles,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.0,0.0
1197,44,GSW,Charles Jenkins\jenkich01,Hofstra University,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-5.9,-1.3
1198,45,NOH,Josh Harrellson\harrejo01,University of Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.7,0.3
1199,46,LAL,Andrew Goudelock\goudean01,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-6.5,-0.5
1200,47,LAC,Travis Leslie\leslitr01,University of Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.2,0.0
1201,48,ATL,Keith Benson\bensoke02,Oakland University,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-10.4,0.0
1202,49,MEM,Josh Selby\selbyjo01,University of Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-10.1,-0.6
1203,50,PHI,Lavoy Allen\allenla01,Temple University,6,386,6893,1838,1836,381,.470,.133,.681,17.9,4.8,4.8,1.0,13.6,.095,-1.3,1.3
1204,51,POR,Jon Diebler\diebljo01,Ohio State University,,,,,,,,,,,,,,,,,
1205,52,DET,Vernon Macklin\macklve01,University of Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,-0.6,0.0
1206,53,ORL,DeAndre Liggins\liggide01,University of Kentucky,4,116,1152,235,170,74,.411,.353,.554,9.9,2.0,1.5,0.6,1.1,.044,-1.7,0.1
1207,54,CLE,Milan Macvan\macvami01,,,,,,,,,,,,,,,,,,
1208,55,BOS,E'Twaun Moore\mooreet01,Purdue University,6,378,7074,2476,665,645,.435,.369,.751,18.7,6.6,1.8,1.7,7.5,.051,-2.2,-0.4
1209,56,LAL,Chukwudiebere Maduabum\maduach01,,,,,,,,,,,,,,,,,,
1210,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,
1211,58,LAL,Ater Majok\majokat01,,,,,,,,,,,,,,,,,,
1212,59,SAS,Adam Hanga\hangaad01,,,,,,,,,,,,,,,,,,
1213,60,SAC,Isaiah Thomas\thomais02,University of Washington,6,436,13060,8304,1121,2250,.443,.368,.876,30.0,19.0,2.6,5.2,44.9,.165,2.4,14.6
1214,1,NOH,Anthony Davis\davisan02,University of Kentucky,5,334,11507,7472,3397,591,.514,.293,.787,34.5,22.4,10.2,1.8,49.0,.204,4.1,17.8
1215,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,University of Kentucky,5,279,7565,2543,1782,364,.470,.206,.710,27.1,9.1,6.4,1.3,15.3,.097,-0.9,2.1
1216,3,WAS,Bradley Beal\bealbr01,University of Florida,5,321,10667,5654,1142,994,.441,.400,.793,33.2,17.6,3.6,3.1,21.5,.097,0.2,6.0
1217,4,CLE,Dion Waiters\waitedi01,Syracuse University,5,335,9572,4438,892,909,.413,.345,.698,28.6,13.2,2.7,2.7,7.4,.037,-2.5,-1.1
1218,5,SAC,Thomas Robinson\robinth01,University of Kansas,5,308,4121,1491,1479,187,.469,.000,.506,13.4,4.8,4.8,0.6,4.7,.054,-3.1,-1.2
1219,6,POR,Damian Lillard\lillada01,Weber State University,5,394,14320,8799,1578,2433,.430,.369,.876,36.3,22.3,4.0,6.2,44.8,.150,3.1,18.3
1220,7,GSW,Harrison Barnes\barneha02,University of North Carolina,5,384,11373,4582,1814,561,.453,.370,.776,29.6,11.9,4.7,1.5,22.4,.095,-0.9,3.0
1221,8,TOR,Terrence Ross\rosste01,University of Washington,5,383,9092,3692,1004,352,.422,.373,.801,23.7,9.6,2.6,0.9,14.4,.076,-0.9,2.5
1222,9,DET,Andre Drummond\drumman01,University of Connecticut,5,380,11316,5077,4891,270,.549,.263,.382,29.8,13.4,12.9,0.7,35.8,.152,0.7,7.6
1223,10,NOH,Austin Rivers\riverau01,Duke University,5,347,7838,2919,681,745,.418,.345,.651,22.6,8.4,2.0,2.1,5.4,.033,-3.1,-2.2
1224,11,POR,Meyers Leonard\leoname01,University of Illinois at Urbana-Champaign,5,295,4847,1683,1143,244,.463,.370,.825,16.4,5.7,3.9,0.8,9.2,.091,-2.1,-0.1
1225,12,HOU,Jeremy Lamb\lambje01,University of Connecticut,5,272,4587,2158,811,311,.438,.327,.817,16.9,7.9,3.0,1.1,10.3,.108,-1.4,0.7
1226,13,PHO,Kendall Marshall\marshke01,University of North Carolina,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-5.6,-2.8
1227,14,MIL,John Henson\hensojo01,University of North Carolina,5,313,5971,2408,1618,313,.533,.000,.572,19.1,7.7,5.2,1.0,13.7,.110,0.5,3.8
1228,15,PHI,Maurice Harkless\harklma01,St. John's University,5,353,8190,2619,1321,309,.469,.315,.600,23.2,7.4,3.7,0.9,12.3,.072,-0.4,3.3
1229,16,HOU,Royce White\whitero03,Iowa State University,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-10.4,0.0
1230,17,DAL,Tyler Zeller\zellety01,University of North Carolina,5,337,6020,2373,1483,314,.499,.000,.769,17.9,7.0,4.4,0.9,13.8,.110,-1.5,0.7
1231,18,HOU,Terrence Jones\joneste01,University of Kentucky,5,232,5557,2429,1330,237,.501,.299,.622,24.0,10.5,5.7,1.0,14.8,.128,0.2,3.0
1232,19,ORL,Andrew Nicholson\nichoan01,St. Bonaventure University,5,283,4049,1698,851,126,.469,.325,.773,14.3,6.0,3.0,0.4,4.0,.047,-5.2,-3.3
1233,20,DEN,Evan Fournier\fournev01,,5,316,8300,3869,819,684,.445,.378,.790,26.3,12.2,2.6,2.2,12.8,.074,-1.0,2.0
1234,21,BOS,Jared Sullinger\sullija01,Ohio State University,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,0.5,4.1
1235,22,BOS,Fab Melo\melofa01,Syracuse University,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-5.8,0.0
1236,23,ATL,John Jenkins\jenkijo01,Vanderbilt University,5,145,1850,734,213,116,.448,.364,.849,12.8,5.1,1.5,0.8,2.7,.071,-3.6,-0.7
1237,24,CLE,Jared Cunningham\cunnija01,Oregon State University,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.9,-0.6
1238,25,MEM,Tony Wroten\wroteto01,University of Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-4.1,-1.6
1239,26,IND,Miles Plumlee\plumlmi01,Duke University,5,269,4501,1376,1279,115,.532,,.564,16.7,5.1,4.8,0.4,9.2,.098,-1.5,0.6
1240,27,MIA,Arnett Moultrie\moultar01,Mississippi State University,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-3.0,-0.2
1241,28,OKC,Perry Jones\jonespe01,Baylor University,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-4.6,-1.1
1242,29,CHI,Marquis Teague\teaguma01,University of Kentucky,2,88,835,206,84,121,.349,.220,.686,9.5,2.3,1.0,1.4,-0.8,-.046,-8.1,-1.3
1243,30,GSW,Festus Ezeli\ezelife01,Vanderbilt University,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-1.1,0.6
1244,31,CHA,Jeff Taylor\tayloje03,Vanderbilt University,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-3.9,-1.2
1245,32,WAS,Tomas Satoransky\satorto01,,1,54,663,139,78,83,.420,.250,.677,12.3,2.6,1.4,1.5,0.6,.045,-2.9,-0.1
1246,33,CLE,Bernard James\jamesbe01,Florida State University,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.1,0.2
1247,34,CLE,Jae Crowder\crowdja01,Marquette University,5,378,8735,3334,1433,524,.433,.343,.790,23.1,8.8,3.8,1.4,21.2,.116,1.2,7.0
1248,35,GSW,Draymond Green\greendr01,Michigan State University,5,395,10581,3548,2675,1621,.435,.333,.694,26.8,9.0,6.8,4.1,32.7,.149,4.1,16.3
1249,36,SAC,Orlando Johnson\johnsor01,University of California Santa Barbara,3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-3.8,-0.5
1250,37,TOR,Quincy Acy\acyqu01,Baylor University,5,255,3879,1209,892,150,.485,.370,.750,15.2,4.7,3.5,0.6,7.8,.096,-1.5,0.4
1251,38,DEN,Quincy Miller\millequ01,Baylor University,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-4.0,-0.5
1252,39,DET,Khris Middleton\middlkh01,Texas A&M University,5,293,8952,4037,1115,797,.450,.402,.873,30.6,13.8,3.8,2.7,17.9,.096,0.0,4.5
1253,40,POR,Will Barton\bartowi01,University of Memphis,5,314,6322,2856,1116,581,.427,.324,.784,20.1,9.1,3.6,1.9,8.9,.067,-1.1,1.4
1254,41,POR,Tyshawn Taylor\tayloty01,University of Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.8,-0.8
1255,42,MIL,Doron Lamb\lambdo01,University of Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.9,-1.2
1256,43,ATL,Mike Scott\scottmi01,University of Virginia,5,281,4322,1988,836,257,.460,.336,.786,15.4,7.1,3.0,0.9,9.3,.103,-2.4,-0.4
1257,44,DET,Kim English\engliki01,University of Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2
1258,45,PHI,Justin Hamilton\hamilju01,Louisiana State University,3,109,1892,658,386,87,.466,.314,.804,17.4,6.0,3.5,0.8,3.7,.094,-0.3,0.8
1259,46,NOH,Darius Miller\milleda01,University of Kentucky,3,102,1460,320,131,89,.420,.351,.841,14.3,3.1,1.3,0.9,1.2,.040,-2.5,-0.2
1260,47,UTA,Kevin Murphy\murphke01,Tennessee Technological University,1,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-.272,-17.6,-0.2
1261,48,NYK,Kostas Papanikolaou\papanko01,,2,69,1089,249,158,101,.354,.297,.688,15.8,3.6,2.3,1.5,0.3,.015,-2.8,-0.2
1262,49,ORL,Kyle O'Quinn\oquinky01,Norfolk State University,5,317,4575,1732,1445,373,.502,.214,.735,14.4,5.5,4.6,1.2,10.8,.114,1.0,3.5
1263,50,DEN,Izzet Turkyilmaz\turkyiz01,,,,,,,,,,,,,,,,,,
1264,51,BOS,Kris Joseph\josepkr01,Syracuse University,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-10.5,-0.1
1265,52,GSW,Ognjen Kuzmic\kuzmiog01,,2,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-2.5,0.0
1266,53,LAC,Furkan Aldemir\aldemfu01,,1,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-0.7,0.2
1267,54,PHI,Tornike Shengelia\shengto01,,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-.032,-6.6,-0.3
1268,55,DAL,Darius Johnson-Odom\johnsda03,Marquette University,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-23.2,-0.1
1269,56,TOR,Tomislav Zubcic\zubcito01,,,,,,,,,,,,,,,,,,
1270,57,NJN,Ilkan Karaman\karamil01,,,,,,,,,,,,,,,,,,
1271,58,MIN,Robbie Hummel\hummero01,Purdue University,2,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-2.9,-0.3
1272,59,SAS,Marcus Denmon\denmoma01,University of Missouri,,,,,,,,,,,,,,,,,
1273,60,LAL,Robert Sacre\sacrero01,Gonzaga University,4,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-3.1,-0.8
1274,1,CLE,Anthony Bennett\bennean01,University of Nevada Las Vegas,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-5.6,-1.7
1275,2,ORL,Victor Oladipo\oladivi01,Indiana University,4,286,9504,4558,1243,1061,.435,.350,.802,33.2,15.9,4.3,3.7,13.8,.070,0.0,4.8
1276,3,WAS,Otto Porter\porteot01,Georgetown University,4,264,6595,2451,1167,316,.481,.390,.770,25.0,9.3,4.4,1.2,17.5,.128,1.7,6.2
1277,4,CHA,Cody Zeller\zelleco01,Indiana University,4,275,6293,2206,1550,354,.501,.154,.731,22.9,8.0,5.6,1.3,18.1,.138,0.6,4.2
1278,5,PHO,Alex Len\lenal01,University of Maryland,4,262,5183,1799,1627,174,.465,.227,.716,19.8,6.9,6.2,0.7,7.7,.071,-2.5,-0.7
1279,6,NOH,Nerlens Noel\noelne01,University of Kentucky,3,188,5237,1901,1421,297,.510,.333,.616,27.9,10.1,7.6,1.6,10.8,.099,1.3,4.3
1280,7,SAC,Ben McLemore\mclembe01,University of Kansas,4,289,7368,2687,731,348,.416,.352,.782,25.5,9.3,2.5,1.2,3.8,.024,-2.6,-1.1
1281,8,DET,Kentavious Caldwell-Pope\caldwke01,University of Georgia,4,310,9390,3636,929,490,.407,.336,.784,30.3,11.7,3.0,1.6,14.6,.075,0.0,4.7
1282,9,MIN,Trey Burke\burketr01,University of Michigan,4,265,6581,2805,569,967,.389,.334,.812,24.8,10.6,2.1,3.6,5.7,.042,-2.6,-1.0
1283,10,POR,C.J. McCollum\mccolcj01,Lehigh University,4,258,6954,4101,684,707,.460,.413,.844,27.0,15.9,2.7,2.7,15.6,.108,0.2,3.9
1284,11,PHI,Michael Carter-Williams\cartemi01,Syracuse University,4,231,7007,3040,1213,1269,.409,.252,.695,30.3,13.2,5.3,5.5,3.5,.024,-0.8,2.1
1285,12,OKC,Steven Adams\adamsst01,University of Pittsburgh,4,306,7236,2298,1957,251,.569,.000,.570,23.6,7.5,6.4,0.8,19.6,.130,0.9,5.3
1286,13,DAL,Kelly Olynyk\olynyke01,Gonzaga University,4,273,5650,2577,1276,458,.477,.370,.742,20.7,9.4,4.7,1.7,14.4,.123,1.2,4.5
1287,14,UTA,Shabazz Muhammad\muhamsh01,University of California Los Angeles,4,230,4267,2229,685,135,.475,.329,.749,18.6,9.7,3.0,0.6,7.7,.087,-3.8,-2.0
1288,15,MIL,Giannis Antetokounmpo\antetgi01,,4,315,9994,4682,2163,1114,.498,.280,.741,31.7,14.9,6.9,3.5,26.7,.128,2.6,11.6
1289,16,BOS,Lucas Nogueira\noguelu01,,3,91,1324,324,296,48,.649,.308,.628,14.5,3.6,3.3,0.5,4.3,.158,4.7,2.2
1290,17,ATL,Dennis Schroder\schrode01,,4,282,6176,3205,666,1239,.432,.329,.817,21.9,11.4,2.4,4.4,7.4,.057,-2.2,-0.3
1291,18,ATL,Shane Larkin\larkish01,University of Miami,3,202,4105,1168,398,639,.430,.328,.762,20.3,5.8,2.0,3.2,3.0,.035,-2.6,-0.6
1292,19,CLE,Sergey Karasev\karasse01,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.1,-0.3
1293,20,CHI,Tony Snell\snellto01,University of New Mexico,4,290,6192,1773,744,286,.415,.370,.813,21.4,6.1,2.6,1.0,7.8,.060,-2.1,-0.2
1294,21,UTA,Gorgui Dieng\dienggo01,University of Louisville,4,292,7715,2592,2102,474,.510,.348,.783,26.4,8.9,7.2,1.6,18.3,.114,2.0,7.8
1295,22,BRK,Mason Plumlee\plumlma01,Duke University,4,310,7124,2778,2024,640,.560,.000,.583,23.0,9.0,6.5,2.1,21.3,.144,2.2,7.5
1296,23,IND,Solomon Hill\hillso01,University of Arizona,4,245,5723,1557,811,388,.403,.340,.825,23.4,6.4,3.3,1.6,8.8,.074,-0.3,2.4
1297,24,NYK,Tim Hardaway\hardati02,University of Michigan,4,277,6448,3022,566,409,.424,.352,.806,23.3,10.9,2.0,1.5,10.0,.075,-2.2,-0.3
1298,25,LAC,Reggie Bullock\bullore01,University of North Carolina,4,142,1510,392,221,66,.376,.324,.800,10.6,2.8,1.6,0.5,1.7,.055,-2.7,-0.3
1299,26,MIN,Andre Roberson\roberan03,University of Colorado,4,254,5584,1158,1001,210,.473,.260,.498,22.0,4.6,3.9,0.8,10.6,.091,0.5,3.5
1300,27,DEN,Rudy Gobert\goberru01,,4,265,7147,2425,2590,303,.611,.000,.613,27.0,9.2,9.8,1.1,30.0,.201,4.7,12.2
1301,28,SAS,Livio Jean-Charles\jeancli01,,,,,,,,,,,,,,,,,,
1302,29,OKC,Archie Goodwin\goodwar01,University of Kentucky,4,161,2321,1005,316,198,.427,.232,.704,14.4,6.2,2.0,1.2,1.1,.023,-4.3,-1.3
